,look_back,hidden_nodes,output_nodes,epochs,batch_size,future_steps,MSE,MAE,RMSE,1,2,3,4,5,6,7,8,9,10
0,3,4,1,300,20,10,66856.679,208.228,258.567,664.6311565223933,672.005943316579,703.9330852416755,694.5036376789809,694.0388781479597,691.2515669659376,691.4372994527818,691.3615268281699,691.5542680881024,691.5687528858185
1,3,5,1,300,20,10,66770.611,205.848,258.4,665.5034372708798,662.2357136312723,684.955819726348,687.2787996912599,689.9993328408003,690.569769094944,690.9299032188059,691.0337888110281,691.0849139169455,691.1019685981274
2,3,6,1,300,20,10,63925.352,198.001,252.835,655.620054837823,653.1238413647413,673.8154138398767,675.5452179757357,677.8060924235583,678.1971040866375,678.4633985263706,678.5284243655801,678.5615213496089,678.5713336319328
3,6,4,1,300,20,10,61831.522,193.288,248.659,612.9779784903526,672.5029821414352,644.1808026543856,682.5254108450414,689.1919611186386,646.3484214825035,670.4088386178613,669.5217226330043,667.8264172357917,679.0912677822114
4,6,5,1,300,20,10,65259.033,202.712,255.458,624.1086889073848,687.3951453245282,649.9249983895421,690.4224680472017,704.6701745448113,660.9254624400139,690.0029151026012,690.8555323488117,685.2922408345938,697.261589889288
5,6,6,1,300,20,10,61406.637,189.931,247.804,617.7722518462539,672.7021870476605,634.4417620093226,683.7162792680264,673.2150734872223,641.9449261639118,669.7896524531246,667.4833377931119,669.4070123801232,680.5174362928271
6,8,4,1,300,20,10,66093.111,200.969,257.086,584.9246633265018,634.9081179831028,616.3258747065663,693.3753030869962,694.9578840503693,661.1823729113341,688.7555092433691,657.6765846124888,666.8502119574547,681.1382967755795
7,8,5,1,300,20,10,58086.881,173.055,241.012,518.5768137619496,613.70198475039,553.3321124411225,651.7727835390567,659.3676847458482,594.9219383222461,636.4062042931319,603.6021091041565,597.465928265214,634.6289351884127
8,8,6,1,300,20,10,71105.628,207.232,266.656,508.8186547414064,558.6276688233614,643.9326142117977,671.5116690633298,682.0997446928025,699.2197632149458,652.2941583815813,623.2480894473791,638.7745855326057,659.4241443068386
9,10,4,1,300,20,10,87399.865,243.584,295.635,613.4799623939991,568.9944619113803,658.3491932032109,747.912591244936,762.7760184583665,705.5329545120002,737.5276142845155,701.6500942209959,695.9728322688342,739.3256371451021
10,10,5,1,300,20,10,63657.325,183.288,252.304,542.1328328607083,555.3808157525062,555.9752765232921,641.495819559455,711.9489800853133,597.7930432803034,654.0468189052344,632.4966717267632,582.032532049179,634.3011192960143
11,10,6,1,300,20,10,101193.229,238.408,318.109,777.8317975554467,555.0589962548613,826.8030296275616,584.4505587646961,835.1961132762433,678.089830920756,656.559970246613,785.0508727741839,572.6347407782674,842.475736506939
12,12,4,1,300,20,10,156807.095,313.134,395.989,234.4542942055166,243.22779848238827,568.5070017430783,550.7214612785577,426.6393301182091,136.996,197.42577785035968,136.996,136.996,287.0572972727418
13,12,5,1,300,20,10,71050.365,211.911,266.553,507.5152565727234,632.7110623080134,619.3477850989103,641.3375381005407,735.1222422981859,529.7173753989339,726.4175018728376,658.4989862591625,612.6271893972754,713.0891127786637
14,12,6,1,300,20,10,74572.2,195.029,273.079,525.5535022447109,473.2267421812415,618.1235471284986,660.6317559099795,640.1324963808655,511.0819433221817,648.7575314811468,587.5592611304521,559.4123399082422,662.919536258936
